source,actions
"['d', 'e', 'f', 'i', 'l', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'f', 'i', 'n', 'i', 'c', 'e']","['COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'c @@', 'COPY']"
"['d', 'e', 'f', 'i', 'n', 'i', 't', 'i', 'v', 'n', 'í']","['COPY', 'e @@', 'COPY', 'COPY', 'n @@', 'COPY', 't @@', 'COPY', 'v @@', 'n @@', 'COPY']"
"['d', 'e', 'f', 'i', 'n', 'i', 't', 'i', 'v', 'n', 'í', 'c', 'h']","['COPY', 'e @@', 'COPY', 'COPY', 'n @@', 'COPY', 't @@', 'COPY', 'v @@', 'n @@', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'f', 'i', 'n', 'i', 't', 'i', 'v', 'n', 'ě']","['COPY', 'e @@', 'COPY', 'COPY', 'n @@', 'COPY', 't @@', 'COPY', 'v @@', 'n @@', 'COPY']"
"['d', 'e', 'f', 'i', 'n', 'o', 'v', 'a', 'l', 'y']","['COPY', 'e @@', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'a @@', 'l @@', 'COPY']"
"['d', 'e', 'f', 'i', 'n', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'f', 'i', 'n', 'o', 'v', 'a', 't', 'e', 'l', 'n', 'ý']","['COPY', 'e @@', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'a @@', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY']"
"['d', 'e', 'f', 'i', 'n', 'o', 'v', 'a', 't', 'i']","['COPY', 'e @@', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'a @@', 'COPY', 'COPY']"
"['d', 'e', 'f', 'i', 'n', 'o', 'v', 'á', 'n', 'a']","['COPY', 'e @@', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'á @@', 'n @@', 'COPY']"
"['d', 'e', 'f', 'i', 'n', 'o', 'v', 'á', 'n', 'í']","['COPY', 'e @@', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'á @@', 'n @@', 'COPY']"
"['d', 'e', 'f', 'o', 'r', 'm', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'm @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'f', 'r', 'a', 'u', 'd', 'a', 'n', 't', 'a']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'COPY', 'd @@', 'COPY', 'COPY', 't @@', 'COPY']"
"['d', 'e', 'f', 'r', 'a', 'u', 'd', 'a', 'n', 't', 'i']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'COPY', 'd @@', 'COPY', 'COPY', 't @@', 'COPY']"
"['d', 'e', 'f', 'r', 'a', 'u', 'd', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'COPY', 'd @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'g', 'e', 'n', 'e', 'r', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'g', 'r', 'a', 'd', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'd @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'h', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'h', 'y', 'd', 'r', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'j']","['d @@', 'e @@', 'COPY']"
"['d', 'e', 'j', 't', 'e']","['d @@', 'COPY', 'j @@', 'COPY', 'COPY']"
"['d', 'e', 'j', 'v', 'i', 'c']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'k', 'a']","['COPY', 'COPY', 'k @@', 'COPY']"
"['d', 'e', 'k', 'l', 'a', 'm', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'm @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'k', 'l', 'a', 'r', 'o', 'v', 'a', 'n', 'é', 'm', 'u']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'a @@', 'n @@', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'k', 'l', 'a', 's', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 's @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'k', 'o', 'l', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'k', 'o', 'r', 'a', 'c', 'e']","['COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'c @@', 'COPY']"
"['d', 'e', 'k', 'o', 'r', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'k', 'o', 'u']","['COPY', 'COPY', 'k @@', 'COPY', 'COPY']"
"['d', 'e', 'k', 'r', 'e', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'k', 'r', 'e', 't', 'o', 'v', 'á', 'v', 'a', 'j', 'í', 'c', 'í']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'á @@', 'v @@', 'COPY', 'j @@', 'COPY', 'c @@', 'COPY']"
"['d', 'e', 'k', 'r', 'e', 't', 'u']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY']"
"['d', 'e', 'k', 'r', 'e', 't', 'u', 'j', 'e']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'k', 'u']","['COPY', 'COPY', 'k @@', 'COPY']"
"['d', 'e', 'k', 'á', 'c', 'h']","['COPY', 'COPY', 'k @@', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'k', 'á', 'd', 'a']","['COPY', 'COPY', 'k @@', 'COPY', 'd @@', 'COPY']"
"['d', 'e', 'k', 'á', 'd', 'á', 'c', 'h']","['COPY', 'COPY', 'k @@', 'COPY', 'd @@', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'l', 'e', 'g', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'g @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'l', 'f', 'í', 'n']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'l', 'i', 'c', 't', 'i']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY']"
"['d', 'e', 'l', 'i', 'k', 'á', 't', 'n', 'o', 's', 't', 'e', 'm']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'n @@', 'COPY', 'COPY', 't @@', 'COPY', 'COPY']"
"['d', 'e', 'l', 'i', 'k', 'á', 't', 'n', 'í', 'h', 'o']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'n @@', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'l', 'o', 'n', 'o', 'v', 's', 'k', 'y']","['COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'v @@', 'COPY', 'k @@', 'COPY']"
"['d', 'e', 'm', 'a', 'r', 'š', 'e']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'š @@', 'COPY']"
"['d', 'e', 'm', 'a', 's', 'k', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'm', 'i', 'l', 'i', 't', 'a', 'r', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'r @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'm', 'o', 'b', 'i', 'l', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'm', 'o', 'k', 'r', 'a', 'c', 'i', 'e']","['COPY', 'COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'c @@', 'COPY', 'COPY']"
"['d', 'e', 'm', 'o', 'k', 'r', 'a', 'c', 'i', 'i']","['COPY', 'COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 'c @@', 'i @@', 'COPY']"
"['d', 'e', 'm', 'o', 'k', 'r', 'a', 't', 'i', 'c', 'k', 'á']","['COPY', 'COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'c @@', 'k @@', 'COPY']"
"['d', 'e', 'm', 'o', 'k', 'r', 'a', 't', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'm', 'o', 'l', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'm', 'o', 'n', 's', 't', 'r', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'm', 'o', 'r', 'a', 'l', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'm', 'o', 'r', 'a', 'l', 'i', 'z', 'u', 'j', 'e']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'z @@', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'n']","['COPY', 'COPY', 'COPY']"
"['d', 'e', 'n', 'a', 't', 'u', 'r', 'a', 'l', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'l @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'n', 'a', 't', 'u', 'r', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'n', 'd', 'r', 'o', 'c', 'h', 'r', 'o', 'n', 'o', 'l', 'o', 'g', 'i', 'c', 'k', 'ý']","['COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'o @@', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'o @@', 'COPY', 'COPY', 'g @@', 'COPY', 'COPY', 'k @@', 'COPY']"
"['d', 'e', 'n', 'n', 'í', 'h', 'o']","['COPY', 'COPY', 'n @@', 'n @@', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'n', 'o', 'r', 'm', 'a', 'l', 'i', 'z', 'a', 'c', 'e']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'm @@', 'COPY', 'l @@', 'COPY', 'z @@', 'COPY', 'c @@', 'COPY']"
"['d', 'e', 'n', 'í', 'k']","['COPY', 'COPY', 'n @@', 'COPY', 'COPY']"
"['d', 'e', 'p', 'e', 'š', 'e']","['COPY', 'e @@', 'COPY', 'COPY', 'š @@', 'COPY']"
"['d', 'e', 'p', 'e', 'š', 'á', 'c', 'k', 'ý']","['COPY', 'COPY', 'COPY', 'COPY', 'š @@', 'COPY', 'c @@', 'k @@', 'COPY']"
"['d', 'e', 'p', 'o', 'n', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'p', 'r', 'i', 'm', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'm @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'p', 't', 'a', 'n', 'ě']","['COPY', 'COPY', 'COPY', 't @@', 'a @@', 'n @@', 'COPY']"
"['d', 'e', 'p', 't', 'a', 't']","['COPY', 'COPY', 'COPY', 't @@', 'a @@', 'COPY']"
"['d', 'e', 'r', 'b', 'y']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'r', 'm', 'a', 't', 'o', 'v', 'e', 'n', 'e', 'r', 'o', 'l', 'o', 'g', 'i', 'e']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'o @@', 'COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'o @@', 'COPY', 'COPY', 'g @@', 'i @@', 'COPY']"
"['d', 'e', 'r', 'v', 'i', 'š', 'ů']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'š @@', 'COPY']"
"['d', 'e', 's', 'e', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 's', 'e', 't', 'i']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY']"
"['d', 'e', 's', 'e', 'x', 'u', 'a', 'l', 'i', 'z', 'o', 'v', 'á', 'v', 'a', 'n', 'ý']","['COPY', 'e @@', 'COPY', 'COPY', 'x @@', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'COPY', 'COPY', 'á @@', 'v @@', 'a @@', 'n @@', 'COPY']"
"['d', 'e', 's', 'i', 'd', 'e', 'r', 'i', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 's', 'k', 'a']","['COPY', 'COPY', 'COPY', 'k @@', 'COPY']"
"['d', 'e', 's', 'k', 'á', 'c', 'h']","['COPY', 'COPY', 'COPY', 'k @@', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 's', 't', 'i', 'l', 'l', 'a', 't', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 's', 't', 'i', 'l', 'o', 'v', 'a', 'n', 'o', 'u']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'a @@', 'n @@', 'COPY', 'COPY']"
"['d', 'e', 's', 't', 'i', 'l', 'o', 'v', 'a', 'n', 'é']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'a @@', 'n @@', 'COPY']"
"['d', 'e', 's', 't', 'i', 'l', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 's', 't', 'i', 'l', 'á', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 'COPY']"
"['d', 'e', 's', 't', 'i', 'l', 'á', 't', 'y']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'l @@', 'COPY', 't @@', 'COPY']"
"['d', 'e', 's', 't', 'r', 'u', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'u @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 's', 'á', 't', 'á']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY']"
"['d', 'e', 's', 'í', 't', 'i']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY']"
"['d', 'e', 's', 'í', 't', 'i', 'l', 'e', 't', 'í', 'c', 'h']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'i @@', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 's', 'í', 't', 'k', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY']"
"['d', 'e', 't', 'a', 'i', 'l']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 't', 'a', 'š', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'š @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 't', 'e', 'k', 't', 'i', 'v']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY']"
"['d', 'e', 't', 'e', 'k', 't', 'i', 'v', 'o', 'v', 'i']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'v @@', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 't', 'e', 'k', 't', 'i', 'v', 'y']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'v @@', 'COPY']"
"['d', 'e', 't', 'e', 'k', 't', 'i', 'v', 'ů', 'm']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'v @@', 'COPY', 'COPY']"
"['d', 'e', 't', 'e', 'k', 't', 'ý', 'v']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY']"
"['d', 'e', 't', 'e', 'k', 't', 'ý', 'v', 'e', 'm']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'v @@', 'COPY', 'COPY']"
"['d', 'e', 't', 'e', 'k', 't', 'ý', 'v', 'y']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'v @@', 'COPY']"
"['d', 'e', 't', 'e', 'k', 't', 'ý', 'v', 'ů']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'v @@', 'COPY']"
"['d', 'e', 't', 'e', 'k', 't', 'ý', 'v', 'ů', 'm']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'v @@', 'COPY', 'COPY']"
"['d', 'e', 't', 'e', 'r', 'm', 'i', 'n', 'i', 's', 'm', 'u', 's']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 't', 'e', 'r', 'm', 'i', 'n', 'i', 's', 't', 'i', 'c', 'k', 'é', 'm', 'u']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 't @@', 'COPY', 'c @@', 'k @@', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 't', 'e', 'r', 'm', 'i', 'n', 'o', 'v', 'á', 'n', 'o']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'á @@', 'n @@', 'COPY']"
"['d', 'e', 't', 'r', 'o', 'n', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'u', 't', 's', 'c', 'h', 'e']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'u', 't', 'z']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'v', 'a', 'd', 'e', 's', 'á', 't']","['COPY', 'COPY', 'COPY', 'a @@', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'v', 'a', 'd', 'e', 's', 'á', 't', 'i']","['COPY', 'COPY', 'COPY', 'a @@', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY']"
"['d', 'e', 'v', 'a', 'l', 'v', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'v @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'v', 'a', 't', 'e', 'r', 'o']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'r @@', 'COPY']"
"['d', 'e', 'v', 'á', 't', 'é']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY']"
"['d', 'e', 'v', 'á', 't', 'é', 'h', 'o']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'v', 'á', 't', 'ý', 'm']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY']"
"['d', 'e', 'v', 'í', 't', 'i']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY']"
"['d', 'e', 'v', 'ě', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'w', 'e', 'y']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'w', 'e', 'y', 'e']","['COPY', 'COPY', 'COPY', 'COPY', 'y @@', 'COPY']"
"['d', 'e', 'w', 'e', 'y', 'o', 'v', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'y @@', 'COPY', 'v @@', 'COPY']"
"['d', 'e', 'w', 'e', 'y', 'o', 'v', 'i']","['COPY', 'COPY', 'COPY', 'COPY', 'y @@', 'COPY', 'COPY', 'COPY']"
"['d', 'e', 'w', 'e', 'y', 'o', 'v', 'o', 'u']","['COPY', 'COPY', 'COPY', 'COPY', 'y @@', 'COPY', 'v @@', 'COPY', 'COPY']"
"['d', 'e', 'w', 'e', 'y', 'o', 'v', 'ě']","['COPY', 'COPY', 'COPY', 'COPY', 'y @@', 'COPY', 'v @@', 'COPY']"
"['d', 'e', 'z', 'e', 'r', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'z', 'i', 'l', 'u', 'z', 'e']","['COPY', 'COPY', 'z @@', 'COPY', 'COPY', 'COPY', 'z @@', 'COPY']"
"['d', 'e', 'z', 'i', 'n', 'f', 'i', 'k', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'z @@', 'COPY', 'COPY', 'COPY', 'COPY', 'k @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'z', 'i', 'n', 't', 'e', 'r', 'e', 's', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'z @@', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 's @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'z', 'o', 'r', 'g', 'a', 'n', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'z @@', 'COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'z', 'o', 'r', 'i', 'e', 'n', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'z @@', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'š', 'i', 'f', 'r', 'o', 'v', 'a', 't']","['COPY', 'e @@', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'e', 'š', 't', 'i']","['COPY', 'COPY', 'COPY', 't @@', 'COPY']"
"['d', 'e', 'š', 't', 'ě']","['COPY', 'COPY', 'COPY', 't @@', 'COPY']"
"['d', 'e', 'š', 'ť', 'o', 'v', 'é']","['COPY', 'COPY', 'COPY', 'ť @@', 'COPY', 'v @@', 'COPY']"
"['d', 'g']","['d @@', 'COPY']"
"['d', 'i', 'a', 'g', 'n', 'o', 's', 't', 'i', 'k', 'a']","['COPY', 'COPY', 'a @@', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'k @@', 'COPY']"
"['d', 'i', 'a', 'g', 'n', 'o', 's', 't', 'i', 'k', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'a @@', 'COPY', 'COPY', 'COPY', 's @@', 't @@', 'COPY', 'k @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'i', 'a', 'g', 'n', 'ó', 'z', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'a @@', 'COPY', 'COPY', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'i', 'a', 'l', 'e', 'k', 't', 'i', 'c', 'e']","['COPY', 'COPY', 'a @@', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'c @@', 'COPY']"
"['d', 'i', 'a', 'l', 'o', 'g', 'i', 'z', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'a @@', 'COPY', 'COPY', 'g @@', 'COPY', 'z @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'i', 'a', 'm', 'a', 'n', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['d', 'i', 'a', 'm', 'a', 'n', 't', 'e', 'c', 'h']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'COPY']"
"['d', 'i', 'a', 'm', 'a', 'n', 't', 'e', 'm']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY']"
"['d', 'i', 'a', 'm', 'a', 'n', 't', 'y']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY']"
"['d', 'i', 'a', 'r', 't', 'ů', 'v']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY']"
"['d', 'i', 'a', 'v', 'o', 'l', 'o']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['d', 'i', 'c', 'k', 'e', 'n', 's', 'e']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 's @@', 'COPY']"
"['d', 'i', 'e']","['COPY', 'COPY', 'COPY']"
"['d', 'i', 'f', 'e', 'r', 'e', 'n', 'c', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'c @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'i', 'f', 'e', 'r', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'r @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'i', 'k', 't', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['d', 'i', 'l', 'e', 't', 'a', 'n', 't', 'i', 's', 'm']","['COPY', 'COPY', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 't @@', 'COPY', 'COPY', 'COPY']"
"['d', 'i', 'l', 'o', 'g', 'i', 'e']","['COPY', 'i @@', 'COPY', 'COPY', 'g @@', 'i @@', 'COPY']"
